time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.1833333,12.41299073,-0.13268689,-2.96585996,-0.61294047,0.61823886,-0.68829838,62.0001371,4.46337856,-10.01827918,25.26433547,4.65567408,23.34111011,0.0,64.40950072,3.886411,-4.35920748,26.64628048,-4.29757137,2.64036973,0.0,-28.35454261,-3.09995417,25.36535463,43.09521498,-18.76673921,-8.0760799,67.94693703,93.26014418,114.4460083,0.26953356,20.16221191,86.82831533,87.71773928
0.2,10.8467941,-0.12854955,-3.15746566,-0.60314651,0.61562129,-0.6930982,64.17544481,4.37781716,-10.60192188,26.84103652,5.12362108,23.7072309,0.0,65.62120644,3.80284301,-3.85370177,25.59974187,-5.63197691,0.04478286,0.0,-27.46666019,-3.02333379,26.19051711,47.82058444,-17.57104486,-8.71869189,64.03258963,92.68366431,117.22402064,2.15006799,20.87667047,86.23311174,87.88646536
0.2166667,9.89684681,-0.73994818,-4.32602268,-0.60035923,0.6189641,-0.69576031,65.13405443,5.27398732,-10.55378269,27.59350929,5.33858665,23.31653589,0.0,65.99904871,2.16488402,-4.32660871,25.05208627,-5.97783322,0.11473467,0.0,-26.99584744,-2.32125645,26.83134829,51.17629463,-15.17381981,-8.78066047,60.63447764,91.57242076,119.0768741,2.5139596,22.22088749,86.03930249,88.47874611
0.2333333,7.95593668,-0.2918241,-4.28687704,-0.59322779,0.60940828,-0.69106716,68.06979934,4.70456686,-10.34318056,29.16573923,6.76260892,22.90623695,0.0,68.79071021,2.63856448,-4.78007095,27.32886045,-3.94532772,-0.50613285,0.0,-25.13206989,-2.33945051,26.35555639,53.6226604,-12.70591713,-9.70785876,58.47777135,90.90617926,121.09798395,3.48601211,22.87589131,84.47259425,88.72116567
0.25,6.43848956,0.34771041,-4.47940115,-0.59467424,0.61500066,-0.69288492,69.75566884,4.46788805,-9.83045102,30.22401719,7.3475712,21.64609066,0.0,70.55243648,2.90706318,-5.40464945,28.05858255,-3.35894029,0.26798462,0.0,-24.42298112,-2.70295874,26.36643475,55.87283466,-11.37893259,-10.3786903,57.44559002,90.57859818,122.33605989,4.25733823,23.07750865,83.48257337,88.90898778
0.2666667,6.42803766,0.85039207,-4.68921288,-0.5994577,0.61554084,-0.68948348,69.69604439,4.64730999,-9.06614625,29.53983735,6.79735976,20.62151293,0.0,70.13161765,2.92042331,-5.56571208,27.77862964,-2.12086399,1.21875219,0.0,-25.71961378,-3.41739369,26.02688973,59.57279767,-9.67796286,-11.40863331,54.38661763,89.94260695,126.13529479,5.23291061,23.35364789,80.06299387,89.23716231
0.2833333,5.16040155,1.34549263,-4.44827385,-0.59330851,0.61436524,-0.69169574,71.17174411,4.20144915,-9.52472787,30.51063619,6.9818661,20.54999602,0.0,71.32299866,3.66549688,-5.68917537,28.06623192,-0.72069841,2.08378134,0.0,-25.52705378,-3.58903179,25.90136191,61.69286297,-9.20007723,-12.09226609,53.24238062,89.57479963,128.60957527,6.17972813,22.69495155,77.69954439,89.31837499
0.3,4.3821619,1.83096049,-4.64596076,-0.58952149,0.61782519,-0.68869106,71.68315501,4.1949511,-9.53097691,30.84298372,6.80074161,20.08203193,0.0,71.66475978,3.56077817,-6.67051953,28.25216182,0.19430739,3.72388477,0.0,-25.84660889,-4.17368641,27.03400674,62.92150634,-10.19976216,-12.81421554,52.70252904,88.90433226,129.87051777,7.23232767,23.15925948,74.78964796,89.77600372
0.3166667,3.29169772,1.99700662,-4.44059757,-0.58716034,0.6106154,-0.68440797,73.44937016,4.10894755,-9.88787059,31.2294229,6.50102807,20.26939909,0.0,73.18637792,3.25297658,-6.59449371,29.1866339,1.42404846,3.81687412,0.0,-25.57481702,-4.37266494,27.80149309,63.6823985,-11.13223675,-13.2946607,52.58055274,88.20971923,132.0325104,8.29076287,24.45900219,70.15756446,90.21503462
0.3333333,2.09807097,1.93211914,-4.38089759,-0.58500834,0.6156954,-0.68365096,74.55498858,4.39452752,-9.91550898,31.76851462,5.79783732,19.84233104,0.0,74.12320521,3.15195821,-6.3803393,28.79925236,0.92706752,3.92134455,0.0,-25.4771404,-4.14633608,28.90715988,64.07099522,-12.28430929,-13.59362628,52.90356554,87.7065378,132.61418242,8.89888215,25.09457774,67.86909324,90.48677593
0.35,1.12889335,2.17897094,-3.69556325,-0.58253371,0.61209849,-0.68782745,75.71435344,3.58771484,-9.89884815,32.29167748,6.22497689,20.21295887,0.0,75.39697383,3.91744338,-6.34612663,29.33763965,0.85083668,3.36897113,0.0,-25.88317237,-4.24643039,28.82732344,65.23102633,-13.73068737,-13.67302847,52.49867406,86.72252762,134.67295045,10.074702,26.18436922,63.25445422,90.86191374
0.3666667,0.10509216,2.36125212,-3.2679524,-0.57793519,0.61036884,-0.68661791,77.20362399,3.13019441,-9.41419577,32.46096647,5.15285233,19.56023435,0.0,76.53638871,4.48330529,-5.96219393,29.95257532,1.66362076,3.31243037,0.0,-26.13155898,-4.00318524,29.00500196,66.4150957,-15.34023591,-13.31521406,51.61388336,86.02248313,135.68344241,10.65010862,26.98787384,60.38346036,91.03587048
0.3833333,-0.14657125,2.55369768,-3.17359712,-0.57689047,0.61383841,-0.68774154,77.31766694,2.79499764,-8.58902602,32.84247364,5.70886042,18.92855482,0.0,76.71722446,5.1889433,-5.40915189,29.86434605,1.05783091,2.35269695,0.0,-27.74030825,-4.170163,28.70783846,68.62337628,-16.32899394,-12.06444432,49.72247609,84.87577079,138.40830401,11.69321882,28.04077918,56.22363438,91.00913025
0.4,-1.55891743,2.74903417,-2.71607845,-0.56987266,0.61129309,-0.68875978,78.92079162,2.33115531,-7.96359478,33.36638654,6.55106208,18.18473114,0.0,78.50897231,5.60643567,-4.733491,30.87931801,0.79078181,0.28054361,0.0,-27.98649846,-3.9059283,28.48981739,69.99461484,-17.73623472,-10.78768326,48.38150742,83.67100553,139.99696533,12.31547069,29.65308154,52.66378881,90.76323453
0.4166667,-3.36675006,2.92091327,-1.91439042,-0.56355185,0.60590269,-0.68686602,81.40688284,1.58958972,-7.53594338,34.64947946,7.03645555,16.53575324,0.0,81.16320524,6.23080999,-4.4156118,32.88019029,1.46289746,-0.66580575,0.0,-27.72571402,-3.56809558,28.0370626,71.45224995,-18.62824119,-10.1725198,46.99749659,82.63693087,140.76765444,12.77708554,30.07471216,50.69855968,90.22203997
0.4333333,-4.12579922,3.03241818,-1.72792735,-0.56315452,0.60298278,-0.69010996,82.84636005,1.31208994,-7.22979237,35.9834985,7.56357078,15.43287722,0.0,82.35199276,6.43476562,-4.10882625,33.26696641,0.71339759,-0.5591333,0.0,-29.11041717,-3.49953754,27.03654235,74.41936581,-18.66722026,-7.78169299,44.79510477,80.87019334,143.41596226,12.94817348,32.90609257,46.20921532,88.8563629
0.45,-5.64703728,2.89282926,-1.24822581,-0.55169614,0.59951805,-0.68927839,85.03382224,1.3649471,-7.07777523,37.25809752,8.2218321,16.00495798,0.0,84.42699999,6.63292024,-3.56939222,34.26029388,0.69760282,-1.32104738,0.0,-29.0758124,-2.95623367,26.50951739,75.36644665,-18.87128596,-7.16305362,43.49269532,80.05483433,144.24530298,13.72167951,34.10969218,43.66971919,87.89487787
0.4666667,-6.34734733,2.73070155,-1.32451192,-0.55257459,0.59604884,-0.68817312,86.12123757,1.67961401,-7.0474242,38.46423173,8.77183736,15.70986043,0.0,85.45858619,6.14794515,-3.15953614,33.74985143,-1.53657116,-2.48230477,0.0,-30.46284479,-2.78556644,25.29618112,77.47021079,-18.23379587,-5.68722827,41.70127222,79.19975744,146.6007372,14.39675561,35.14785012,40.95845986,86.28075731
0.4833333,-7.22317679,2.6001386,-1.41864995,-0.55102896,0.59261478,-0.68396066,87.79643848,2.26673837,-6.43022039,40.12408728,9.62202229,14.00171057,0.0,86.91028195,5.51905503,-2.82633327,33.87967196,-3.80572432,-4.8977726,0.0,-31.87840875,-2.53733492,24.11464077,79.86473809,-17.25423189,-4.62901293,39.65974481,78.53111159,149.08516113,14.67736846,36.67778867,38.42828405,84.61981862
0.5,-8.4927084,2.64827888,-1.14360079,-0.54459695,0.59435081,-0.68383492,88.9994269,2.31621136,-5.30145788,40.61369765,10.20369254,11.52751103,0.0,88.47030812,5.69282148,-3.28759031,34.94270205,-3.60316697,-5.00159907,0.0,-32.65738158,-2.29759399,23.03632069,81.39558519,-17.29220313,-3.53216755,37.59317235,77.88253312,150.54030896,15.76329699,38.09760771,36.29319634,82.31305322
0.5166667,-10.29618507,2.95774702,-0.49613009,-0.534117,0.59359546,-0.6856483,90.63394115,2.11540042,-4.36942518,41.43471196,11.11617335,10.12198488,0.0,90.17197145,6.47737342,-4.31513154,36.61379717,-1.6072388,-4.18964264,0.0,-32.85385035,-1.9979113,21.90953903,81.76904251,-17.3710524,-3.61561249,36.66682557,77.7444889,151.21395303,16.62881382,38.3096722,36.30427425,81.72361761
0.5333333,-12.29835245,3.88934507,-0.25267947,-0.52693695,0.59134523,-0.68476359,92.38255843,1.62558539,-3.48787163,42.06099714,13.17413005,6.48344391,0.0,91.85214414,6.87970896,-4.87601083,37.15680062,-0.03432104,-3.73682114,0.0,-32.52493997,-2.28473248,21.94766392,82.1945152,-18.50301042,-3.8871255,34.60735439,77.6685735,150.81411479,17.98453405,38.86208967,35.34925964,81.14616696
0.55,-14.36760234,4.85982479,0.10176853,-0.52133354,0.59034734,-0.68896389,94.58313377,0.60988103,-2.53683361,41.00244266,10.92014628,1.60734686,0.0,93.70232046,7.69636797,-6.0551711,38.71589059,2.52160494,-2.91206162,0.0,-32.41697816,-2.62160597,21.15909256,82.22257641,-18.67685157,-3.94966985,32.94692634,77.68029192,151.66021131,20.18849669,39.35498086,32.09489387,79.67259528
0.5666667,-15.97707197,4.97732152,-0.95426137,-0.51785684,0.58052539,-0.69220682,96.30507029,1.97199386,-2.67855817,40.58124124,11.96558224,1.78088218,0.0,96.44944337,6.29749617,-6.00985124,41.54911632,4.36452118,-2.9705065,0.0,-32.20755832,-2.82518295,21.60869871,81.50286469,-18.93565368,-3.94935676,32.26954536,77.65088717,151.6334038,21.63727221,40.63517818,29.59508421,78.32791873
0.5833333,-17.23260363,4.43493151,-2.60634802,-0.52081408,0.5742086,-0.69046552,98.06981007,4.42036155,-0.76945728,40.65325414,11.87577197,-0.39479136,0.0,99.48837419,4.24723085,-5.55458564,45.30181343,6.26753687,-3.08349683,0.0,-32.97304134,-2.73577017,22.17080528,82.28184151,-18.66830499,-3.0751157,30.58572166,77.7139669,153.37794074,22.61630855,44.18492759,25.5229643,75.83271476
0.6,-18.01802722,3.97650607,-3.59141547,-0.51654954,0.57567169,-0.68812327,98.9611811,6.08256573,0.67150616,41.06836424,10.98134344,-1.46935735,0.0,101.1160332,2.90960631,-5.42891268,47.05087603,6.67284146,-2.74380183,0.0,-34.07506955,-2.33316564,21.92665705,81.19438378,-17.92880025,-3.90129807,30.84020669,77.46601689,154.62592775,22.80119422,50.72426424,21.97888823,71.01258946
0.6166667,-17.34754744,3.49971894,-3.81290253,-0.51225366,0.57034793,-0.69232255,98.43430268,7.33599378,2.87502708,41.53490752,10.17766471,-5.94980371,0.0,101.10021104,2.46379429,-5.14041373,47.42009239,5.4320223,-3.066498,0.0,-36.50722261,-0.95654973,20.84483615,80.76755959,-16.8299332,-3.81863354,30.48789121,77.52344154,153.86453452,21.75311727,50.51080195,22.10916876,70.3057128
0.6333333,-17.07488559,3.28081507,-3.15028419,-0.50743539,0.57227463,-0.68706669,98.0033118,7.60080009,3.37958926,41.60360021,10.26070959,-8.6009974,0.0,101.26488656,3.50452357,-4.33516978,47.60230049,4.90615578,-3.26312744,0.0,-37.96630361,0.64887756,19.83542685,79.10534706,-16.22693014,-5.87409885,30.03407464,77.8143348,150.46434771,20.25756632,47.81335403,25.32753159,66.87022083
0.65,-17.44626367,3.19117926,-2.82499197,-0.51037646,0.56898854,-0.67998291,98.31234422,8.38123138,4.29489159,41.56854453,10.81707556,-9.00421894,0.0,101.74143639,3.90003147,-3.33955754,47.80757413,5.08846391,-3.51567543,0.0,-38.49161501,1.23417212,19.30689845,75.3507903,-16.16218332,-8.15410178,32.59726315,78.27654167,147.26198459,19.92098093,44.41785477,27.43102332,64.35078158
0.6666667,-15.98329829,2.59529678,-1.30304789,-0.51230805,0.56263351,-0.67909784,98.26277982,8.15989501,6.09690726,43.95952081,11.19305112,-11.11081068,0.0,101.29134136,5.67314724,-2.94793351,49.29314465,5.79358871,-3.89498338,0.0,-40.69416264,3.06001366,17.09327552,73.89218316,-15.36929902,-11.03081986,33.04946655,78.66367583,144.13020946,18.35505939,41.1264926,31.40428814,62.63307249
0.6833333,-15.39006783,2.30433486,-0.19414804,-0.51774413,0.55739354,-0.67138227,98.9836776,8.15607005,7.12281289,45.80664067,11.21108303,-12.0689721,0.0,101.78194237,6.26809619,-3.41544706,51.11166588,6.52358836,-2.80331827,0.0,-42.16001073,3.74310899,15.00811273,72.50935519,-14.75801235,-12.78880159,34.97552493,79.19852397,142.14671404,17.41965643,37.16912448,35.65071282,61.3315177
0.7,-14.3727066,2.37648432,0.33597479,-0.52351004,0.55837593,-0.67343617,98.20914818,7.61185228,7.85227361,45.28764686,8.97078676,-13.70440468,0.0,101.23924263,6.47856829,-3.94468869,50.75663757,5.30975985,-2.63548824,0.0,-43.69428833,4.12433613,13.7311304,72.14869864,-15.08782312,-13.88290574,35.69764062,80.24991814,140.20221204,17.37561499,33.30741846,38.2184298,60.09442063
