time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,6.73936365,-7.2673663,-13.36860592,-0.52229179,0.56452893,-0.66572479,80.89891181,14.7166435,-18.28910627,51.53176947,4.00520628,-23.35097332,0.0,87.86077562,-11.1008759,7.06483312,73.8106258,27.31985391,17.20102071,0.0,-57.84104649,-1.97493265,-0.59832226,161.47000931,18.50953739,72.62076424,14.34883504,53.3850266,82.00089214,-24.98738168,2.44543291,26.53300256,92.70185721
0.0166667,-1.86472998,-6.85788477,-16.80327276,-0.48927045,0.55375419,-0.65104501,90.15213509,17.89636941,-16.2959704,53.24177495,10.28254364,-11.71301467,0.0,96.90117916,-12.6767424,7.47291646,73.56826201,25.28420395,5.89972425,0.0,-44.07227012,-8.15735854,-2.81805069,142.07261713,10.97056518,34.90300821,36.23859727,61.60446041,77.44081605,-29.23621366,5.21928624,29.08514973,87.51639007
0.0333333,-11.34971452,-5.6642196,-18.91070726,-0.47738793,0.54024588,-0.63605165,99.7905403,17.91127357,-19.71201553,56.66022892,14.3213194,-6.02254963,0.0,107.55130908,-12.47255731,10.72584236,78.06234358,25.87560666,-3.16407802,0.0,-31.19050835,-11.18139915,-3.66545046,127.991429,10.76634153,16.21020808,48.70840012,116.41825361,70.13590584,-32.08936116,1.20094496,33.78250113,82.21001826
0.05,-15.1681213,-6.0661905,-19.21473519,-0.48347937,0.54504179,-0.63792825,101.94334886,18.53430229,-20.6633182,54.61964107,16.07659232,-0.05804068,0.0,111.92964204,-12.65192803,11.7697972,78.92444424,26.09456527,-5.70370324,0.0,-26.60066921,-12.85263718,-3.8355477,121.78275408,9.54327443,13.57516993,51.73707094,115.95627002,66.38728224,-32.67067291,2.048613,36.61079913,81.97641466
0.0666667,-17.83495365,-6.34192023,-20.09797159,-0.47007051,0.54027001,-0.64688344,104.49186602,18.55867573,-21.79464881,54.94617385,19.67750872,3.68434071,0.0,115.15132494,-11.876687,12.991036,79.33020552,25.16893837,-7.80424132,0.0,-23.22522089,-13.17113048,-3.7440756,117.44170217,10.89408206,11.52031554,53.32297457,115.23244211,59.8176494,-32.96623493,0.16524057,41.29680218,80.72631041
0.0833333,-18.60231252,-7.1154486,-20.12713803,-0.48830945,0.5344171,-0.65599524,105.05735078,17.69194,-22.26968599,54.33200764,21.18857617,6.28585723,0.0,115.92261268,-10.74626693,13.33794926,78.98638291,26.30410659,-6.21511188,0.0,-23.36096078,-12.54904265,-3.28362577,116.97001318,12.09348693,10.11273097,51.75163883,114.58366322,57.50400259,-31.6133614,0.22843656,43.15867501,80.06776249
0.1,-18.19076585,-8.18113057,-19.45763571,-0.4978569,0.53633324,-0.66345645,104.06808372,16.68937177,-22.28460153,52.60548127,20.49040855,7.92195626,0.0,115.97258023,-8.72963443,14.19710193,76.60887229,22.32009649,-6.74280925,0.0,-25.27984003,-11.82407287,-2.80486657,118.88659969,12.571355,10.65830782,48.01443502,111.36105116,57.33616032,-29.71044943,1.97589209,44.50069424,77.22619783
0.1166667,-17.76349636,-8.93543315,-18.96227568,-0.50203061,0.52747924,-0.66942673,103.95698156,15.5860376,-22.90663801,52.30743302,20.04275142,8.90060642,0.0,115.85876868,-7.05351885,15.34377968,74.64333716,18.97047946,-6.76162955,0.0,-26.53453007,-11.00806596,-1.64249716,120.80098234,12.33519194,13.05229728,44.54218375,107.82994382,58.24884718,-27.38191161,4.70466365,44.14759434,74.99729317
0.1333333,-18.36633614,-9.46515203,-18.42870036,-0.49891301,0.53704188,-0.66363554,103.80401749,15.35530707,-23.16977658,51.19769742,18.92055376,8.94116183,0.0,115.78574625,-6.23081778,16.58835084,72.80071271,16.13489061,-6.85266344,0.0,-26.42516587,-10.50524357,-1.39189861,120.7348046,12.92039968,13.12752514,43.69321453,107.32332983,57.7495981,-26.46341137,4.94126223,44.5914656,74.65357968
0.15,-18.73944331,-9.77606285,-17.65036291,-0.49869182,0.53363823,-0.67187584,103.7750691,14.48197968,-23.03601343,50.49204071,19.04831951,9.683011,0.0,115.67062826,-4.89658404,17.19769891,72.16840483,16.22284463,-4.4561748,0.0,-26.20487722,-9.54271631,-1.87295237,121.04569904,13.54292615,14.66787463,42.09051266,105.57276861,56.15767103,-26.06190637,3.95057091,46.15054461,72.98510276
