time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.1833333,26.98306622,-1.06459276,-7.19439963,-0.74136587,0.50149758,-0.21934104,62.86310202,5.57864583,-11.59603894,43.73074344,-16.31298583,-5.2592971,0.0,60.37167143,-5.94467724,-21.46229207,42.36119323,-7.64312485,7.32009181,0.0,-44.68206283,4.2871866,-9.6302209,-3.74164369,-40.05003214,26.16609208,97.81674257,94.63320959,57.49804857,-16.08441612,39.83166706,51.07115858,70.78843809
0.2,27.15246479,-1.02922448,-5.8202969,-0.73799861,0.50241823,-0.22582499,63.01798613,4.0931288,-12.53151957,43.52213785,-15.72532675,-2.73804796,0.0,60.63920819,-4.5569503,-21.26716546,43.37965997,-6.75467747,6.68582394,0.0,-43.45462234,5.3744104,-7.00941204,-2.14486768,-40.3249781,24.05228257,98.08282123,93.76306228,56.81068696,-15.59630906,36.35035333,52.61534226,70.44974935
0.2166667,27.5363468,-1.1786415,-5.55293624,-0.74592804,0.49919897,-0.22495917,62.39778771,3.95004496,-12.2404919,41.28374113,-17.24756991,-1.06620218,0.0,60.53864626,-4.4010205,-21.31211745,43.52189055,-6.52576013,6.79479153,0.0,-42.94954737,5.92609484,-2.94830432,-0.25879418,-40.96456725,21.62848083,98.63254378,92.93410354,57.50232138,-14.8835438,34.3324516,54.91317192,70.61484897
0.2333333,27.82304064,-0.96098618,-5.56830257,-0.74449786,0.50176001,-0.23015979,61.48836532,3.73841277,-11.18528304,38.9490759,-19.04091526,-0.09157572,0.0,60.19202235,-3.80032204,-21.46251157,42.58369385,-7.47123677,6.05250791,0.0,-42.60350093,6.12817706,0.46340516,2.83732754,-41.78433854,19.82866028,98.24094041,92.69129768,58.95676629,-14.47200305,33.8678446,56.17219592,70.72388923
0.25,27.6450828,-0.69586882,-5.58019174,-0.74461346,0.50077356,-0.23168214,61.4790481,3.40918681,-10.63164131,37.69494211,-20.84427379,0.39811824,0.0,60.20500446,-3.31716805,-21.5863803,41.96565948,-7.80067399,5.86258043,0.0,-42.66576284,6.39208465,3.72413901,5.4449507,-42.45373855,16.79382088,98.69788601,92.15564349,60.68345125,-14.70681395,33.11093473,59.34535324,71.14020293
0.2666667,27.49528374,-0.70076246,-5.27922822,-0.74739455,0.49848006,-0.23268527,61.77191497,2.90972071,-10.5174455,37.6515953,-21.70880149,0.29534744,0.0,60.39152329,-2.86309069,-21.48690996,41.26142897,-8.76677509,5.87914681,0.0,-42.65110166,6.66944966,6.68856757,8.93517959,-43.35760035,14.92007396,97.96644849,91.97405171,63.45010927,-14.15946405,32.68269862,60.45229069,71.27778545
0.2833333,27.17002508,-0.68910537,-5.19393172,-0.7440797,0.49519674,-0.23377439,62.75291448,2.61980294,-10.411541,38.74096217,-21.64972957,-0.49272094,0.0,61.04455205,-2.68301022,-21.41537126,40.75141195,-9.63821754,5.85508873,0.0,-42.1965162,6.77464688,9.68121063,12.07429539,-44.46625854,13.35499941,96.92993805,91.82489817,66.04020825,-13.25298472,32.31421516,61.55306231,71.43959557
0.3,26.49480317,-0.78383547,-4.97136639,-0.73994946,0.49590576,-0.23135575,63.8215529,2.53562125,-10.44180508,40.39057808,-20.87326964,-1.89416678,0.0,61.80506177,-2.59661452,-21.12167612,40.55189794,-10.12336077,6.30577755,0.0,-41.51313789,6.8385629,12.37124508,14.8599097,-45.04831654,11.8827111,95.2418323,91.64779346,68.71196473,-12.21461583,32.49796387,62.32868582,71.87792302
0.3166667,25.63544189,-0.70808349,-4.73126403,-0.73594367,0.49816885,-0.23066947,65.05199486,2.35026921,-10.47510071,41.97178627,-20.09933766,-3.67532744,0.0,62.60955825,-2.5067433,-20.79638133,40.15203298,-10.44810156,6.83657765,0.0,-40.49988338,6.60801634,14.3814942,17.4305448,-44.68368138,10.22968097,92.84295618,91.47675132,71.01546975,-11.0902486,32.33297863,62.52109017,72.53124107
0.3333333,25.01254417,-0.56236119,-4.22962344,-0.73312358,0.49933832,-0.23177333,65.98136261,1.82515382,-10.44447792,43.84976451,-18.73520697,-5.27505715,0.0,63.17229505,-1.97855434,-20.55322389,39.55906528,-11.04354317,7.43815274,0.0,-39.78813793,6.5374852,16.37621242,20.77325571,-45.00695738,9.79960381,90.00590832,91.43217564,73.04368599,-8.9059768,32.2105243,61.65836823,75.54380405
0.35,24.29463893,-0.30809719,-3.735282,-0.73281217,0.50097646,-0.23497871,66.8127218,1.01806249,-10.25174809,44.79919186,-18.16357462,-6.36177865,0.0,63.63727899,-1.26277178,-20.19592999,39.02586943,-11.2051715,7.85988243,0.0,-39.20263576,6.46512123,17.78342358,23.33440353,-44.46145705,7.68942637,87.69329471,91.27886652,74.05046308,-7.71859224,30.38501896,63.23193557,76.73944342
0.3666667,23.82879068,-0.02528745,-3.44940429,-0.72953623,0.50560333,-0.23201947,67.04705486,0.50665416,-10.35892642,44.63997203,-18.14390794,-7.15395014,0.0,63.52831914,-0.72456934,-19.79514356,38.42275844,-11.43885276,8.88619051,0.0,-39.06062231,6.28292688,18.68928168,26.64111153,-43.60769808,6.78386957,84.99709459,91.321329,75.43679844,-7.00438484,29.06333758,63.90244305,78.64969884
